psi,rho_mean,rho_fit,rho_std
1.000000000000000056e-01,0.000000000000000000e+00,2.101221510958268495e-13,0.000000000000000000e+00
3.000000000000000444e-01,0.000000000000000000e+00,9.646862116441167824e-12,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,1.221368981700587074e-09,0.000000000000000000e+00
7.000000000000000666e-01,0.000000000000000000e+00,1.255880696869783806e-07,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,7.504200180908144992e-06,0.000000000000000000e+00
1.100000000000000089e+00,0.000000000000000000e+00,2.927839056089673385e-04,0.000000000000000000e+00
1.300000000000000266e+00,2.092749999999999819e-02,1.743187913838837449e-02,1.108754042299638825e-03
1.500000000000000000e+00,6.419850000000000279e-01,6.426275827965711729e-01,1.001925908595935333e-02
1.700000000000000178e+00,1.157752499999999740e+00,1.147904660176205294e+00,1.235356836366680380e-02
1.899999999999999911e+00,8.570275000000000531e-01,9.180513879733886995e-01,1.020934137522052330e-02
2.100000000000000089e+00,6.058025000000000215e-01,5.939575244315296043e-01,9.958538719162203165e-03
2.300000000000000266e+00,5.938599999999999435e-01,6.519174975251558202e-01,1.035724511227718511e-02
2.500000000000000000e+00,9.257649999999998380e-01,9.588625733556992436e-01,1.237301924605139700e-02
2.700000000000000178e+00,1.067699999999999871e+00,1.049145135107105054e+00,1.388468486081734579e-02
2.900000000000000355e+00,8.334849999999999204e-01,8.314161473640341304e-01,1.214622640121094423e-02
3.100000000000000089e+00,6.907225000000000170e-01,6.585232861685529349e-01,8.970646209780691605e-03
3.300000000000000266e+00,7.672550000000000203e-01,7.599779632578314015e-01,1.235045172836755044e-02
3.500000000000000000e+00,9.483750000000000790e-01,9.449605071318546434e-01,1.074766192444223493e-02
3.700000000000000178e+00,9.475224999999998232e-01,9.453874338513209574e-01,1.329163245884614798e-02
3.900000000000000355e+00,7.976875000000001048e-01,7.996963764761786386e-01,9.858243611580269974e-03
4.099999999999999645e+00,7.505924999999999958e-01,7.360166623550550291e-01,1.071034024473055402e-02
4.300000000000000711e+00,8.342025000000001800e-01,8.204100141114347711e-01,1.011104756663407447e-02
4.500000000000000000e+00,9.155124999999999513e-01,9.048942007129309184e-01,1.411838923084655396e-02
4.700000000000001066e+00,8.756724999999999648e-01,8.777793842186886186e-01,1.043552226771615743e-02
4.900000000000000355e+00,7.978824999999999390e-01,8.039250204694999846e-01,1.339831367040367899e-02
5.099999999999999645e+00,7.949150000000001492e-01,7.926067071091452698e-01,1.186231427673368338e-02
5.300000000000000711e+00,8.557599999999998541e-01,8.409790009301806313e-01,1.239032517308311966e-02
5.500000000000000000e+00,8.799350000000000227e-01,8.690968113267295569e-01,1.266560925872643392e-02
5.700000000000001066e+00,8.449349999999998806e-01,8.468211216990636503e-01,1.263952759776791612e-02
5.900000000000000355e+00,8.091424999999998757e-01,8.182593772720639924e-01,1.130504399535190579e-02
6.099999999999999645e+00,8.267124999999999613e-01,8.218240772989281462e-01,1.599508045257072922e-02
6.300000000000000711e+00,8.536100000000000909e-01,8.424912062217395636e-01,1.065853500351021492e-02
6.500000000000000000e+00,8.575450000000000017e-01,8.484277355510509988e-01,1.415016179933530245e-02
6.700000000000001066e+00,8.334425000000000860e-01,8.372485906598062799e-01,7.134096686078461765e-03
6.900000000000000355e+00,8.224549999999999361e-01,8.289743404509086755e-01,1.131998581922116776e-02
7.099999999999999645e+00,8.354300000000000059e-01,8.328523438883898011e-01,1.171650208264529876e-02
7.300000000000000711e+00,8.488149999999998752e-01,8.395840668062567458e-01,8.839104205624833538e-03
7.500000000000000000e+00,8.435574999999999601e-01,8.397900310557854242e-01,1.267314062973549926e-02
7.700000000000001066e+00,8.331575000000001063e-01,8.357382343495485255e-01,1.045564912782608394e-02
7.900000000000000355e+00,8.300549999999997652e-01,8.340585333418956138e-01,1.246730355348489409e-02
8.100000000000001421e+00,8.391425000000000134e-01,8.358399990010889624e-01,1.328288644717031883e-02
8.300000000000000711e+00,8.444050000000002942e-01,8.375055899268515347e-01,1.176369191063847755e-02
8.500000000000000000e+00,8.397749999999998272e-01,8.370952407497607162e-01,1.329524548970717479e-02
8.699999999999999289e+00,8.326750000000000540e-01,8.359849247834696406e-01,1.222423714119660366e-02
8.900000000000000355e+00,8.373849999999999349e-01,8.358052345317837917e-01,1.069122980469702083e-02
9.100000000000001421e+00,8.393499999999999295e-01,8.363602101854207271e-01,1.292869106412474628e-02
9.300000000000000711e+00,8.394450000000001078e-01,8.366628481285008911e-01,8.542184793870448087e-03
9.500000000000000000e+00,8.362374999999998559e-01,8.364705902428051232e-01,1.086574621411129545e-02
9.700000000000001066e+00,8.366500000000002268e-01,8.362382476771763606e-01,9.735907494262775047e-03
9.900000000000000355e+00,8.367899999999999228e-01,8.362567481564829874e-01,1.039194526139305269e-02
1.010000000000000142e+01,8.396199999999998109e-01,8.363849888269827559e-01,1.391931070586167538e-02
1.030000000000000071e+01,8.377775000000001748e-01,8.364208016434951931e-01,1.022812781911775805e-02
1.050000000000000000e+01,8.347199999999999065e-01,8.363678140954411422e-01,1.212672559614550241e-02
1.070000000000000107e+01,8.378225000000000255e-01,8.363309292619808266e-01,1.089573160027648008e-02
1.090000000000000036e+01,8.392275000000001262e-01,8.363439283409618286e-01,1.170861665387369806e-02
1.110000000000000142e+01,8.387575000000000447e-01,8.363656835312296423e-01,1.130184282830854967e-02
1.130000000000000071e+01,8.353149999999999187e-01,8.363655068248677660e-01,1.074403261546171516e-02
