psi,rho,rho_fit
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,2.021875000000006740e-03,2.024810030816411779e-16
8.500000000000000888e-01,2.178781250000007275e-01,2.178781249999961200e-01
9.499999999999999556e-01,8.640093750000028550e-01,7.295146960224656585e-01
1.050000000000000044e+00,1.047971875000003550e+00,7.295146960224667687e-01
1.150000000000000133e+00,8.861437500000031164e-01,7.295146960224667687e-01
1.250000000000000000e+00,7.130687500000023604e-01,7.295146960224667687e-01
1.350000000000000089e+00,5.902562500000019252e-01,7.295146960224667687e-01
1.450000000000000178e+00,5.233562500000015216e-01,7.295146960224667687e-01
1.550000000000000044e+00,4.933093750000020483e-01,7.295146960224667687e-01
1.650000000000000133e+00,5.003500000000018488e-01,7.295146960224667687e-01
1.750000000000000000e+00,5.562968750000020224e-01,7.295146960224667687e-01
1.850000000000000089e+00,6.778312500000021057e-01,7.295146960224667687e-01
1.950000000000000178e+00,8.106093750000027409e-01,7.295146960224667687e-01
2.049999999999999822e+00,8.721875000000030020e-01,7.295146960224667687e-01
2.150000000000000355e+00,8.377250000000031616e-01,7.295146960224667687e-01
2.250000000000000000e+00,7.633468750000024228e-01,7.295146960224667687e-01
2.350000000000000533e+00,6.949437500000027468e-01,7.295146960224667687e-01
2.450000000000000178e+00,6.524812500000021220e-01,7.295146960224667687e-01
2.549999999999999822e+00,6.418031250000021393e-01,7.295146960224667687e-01
2.650000000000000355e+00,6.552468750000022268e-01,7.295146960224667687e-01
2.750000000000000000e+00,6.959093750000022727e-01,7.295146960224667687e-01
2.850000000000000533e+00,7.450281250000021505e-01,7.295146960224667687e-01
2.950000000000000178e+00,7.827125000000024757e-01,7.295146960224667687e-01
3.049999999999999822e+00,7.951406250000028209e-01,7.295146960224667687e-01
3.150000000000000355e+00,7.799250000000027550e-01,7.295146960224667687e-01
3.250000000000000000e+00,7.445000000000027152e-01,7.295146960224667687e-01
3.350000000000000533e+00,7.120218750000023578e-01,7.295146960224667687e-01
3.450000000000000178e+00,6.923531250000023451e-01,7.295146960224667687e-01
3.549999999999999822e+00,6.939000000000021817e-01,7.295146960224666577e-01
3.650000000000000355e+00,7.052500000000021529e-01,7.295146960224666577e-01
3.750000000000000000e+00,7.267468750000024569e-01,7.295146960224665467e-01
3.850000000000000533e+00,7.475937500000022773e-01,7.295146960224665467e-01
3.950000000000000178e+00,7.566625000000033463e-01,7.295146960224665467e-01
4.050000000000000711e+00,7.605125000000023672e-01,7.295146960224665467e-01
4.150000000000000355e+00,7.493593750000026033e-01,7.295146960224665467e-01
4.250000000000000000e+00,7.341250000000024700e-01,7.295146960224664356e-01
4.349999999999999645e+00,7.176093750000022142e-01,7.295146960224664356e-01
4.450000000000000178e+00,7.110468750000025207e-01,7.295146960224663246e-01
4.550000000000000711e+00,7.141218750000025706e-01,7.295146960224663246e-01
4.650000000000000355e+00,7.216531250000024489e-01,7.295146960224662136e-01
4.750000000000000000e+00,7.322343750000023244e-01,7.295146960224661026e-01
4.850000000000000533e+00,7.412343750000026654e-01,7.295146960224659916e-01
4.950000000000000178e+00,7.440500000000023206e-01,7.295146960224658805e-01
5.050000000000000711e+00,7.424687500000026752e-01,7.295146960224656585e-01
5.150000000000000355e+00,7.357781250000023920e-01,7.295146960224655475e-01
5.250000000000000000e+00,7.294218750000023288e-01,7.295146960224653254e-01
5.350000000000000533e+00,7.246781250000026153e-01,7.295146960224651034e-01
5.450000000000000178e+00,7.205093750000024500e-01,7.295146960224647703e-01
5.550000000000000711e+00,7.257625000000024196e-01,7.295146960224645483e-01
5.650000000000000355e+00,7.281906250000024228e-01,7.295146960224641042e-01
5.750000000000000000e+00,7.308718750000025022e-01,7.295146960224636601e-01
5.850000000000000533e+00,7.342781250000025572e-01,7.295146960224632160e-01
5.950000000000000178e+00,7.368468750000026768e-01,7.295146960224625499e-01
6.050000000000000711e+00,7.359656250000028432e-01,7.295146960224618837e-01
6.150000000000000355e+00,7.339906250000024501e-01,7.295146960224612176e-01
6.250000000000000000e+00,7.299562500000023046e-01,7.295146960224603294e-01
6.350000000000000533e+00,7.257312500000021593e-01,7.295146960224592192e-01
6.450000000000000178e+00,7.253593750000025819e-01,7.295146960224578869e-01
6.550000000000000711e+00,7.256250000000027400e-01,7.295146960224564436e-01
6.650000000000000355e+00,7.323718750000024480e-01,7.295146960224547783e-01
6.750000000000000000e+00,7.321843750000024409e-01,7.295146960224527799e-01
6.850000000000000533e+00,7.303937500000026173e-01,7.295146960224505595e-01
6.950000000000000178e+00,7.334656250000020083e-01,7.295146960224477839e-01
7.050000000000000711e+00,7.332437500000027475e-01,7.295146960224446753e-01
7.150000000000000355e+00,7.302468750000022935e-01,7.295146960224410115e-01
7.250000000000000000e+00,7.254312500000019703e-01,7.295146960224367927e-01
7.350000000000000533e+00,7.329593750000023000e-01,7.295146960224319077e-01
7.450000000000000178e+00,7.269437500000023311e-01,7.295146960224261345e-01
7.550000000000000711e+00,7.306718750000019691e-01,7.295146960224194732e-01
7.650000000000000355e+00,7.309500000000025421e-01,7.295146960224117016e-01
7.750000000000000000e+00,7.311437500000024237e-01,7.295146960224025978e-01
7.850000000000000533e+00,7.301468750000025265e-01,7.295146960223921617e-01
7.950000000000000178e+00,7.302843750000025391e-01,7.295146960223798382e-01
8.050000000000000711e+00,7.302187500000022480e-01,7.295146960223655164e-01
8.150000000000000355e+00,7.312968750000023999e-01,7.295146960223488630e-01
8.250000000000000000e+00,7.331437500000024254e-01,7.295146960223295451e-01
8.350000000000001421e+00,7.273531250000027093e-01,7.295146960223068966e-01
8.449999999999999289e+00,7.294250000000023215e-01,7.295146960222806953e-01
8.550000000000000711e+00,7.291875000000025420e-01,7.295146960222500532e-01
8.650000000000000355e+00,7.292625000000024782e-01,7.295146960222145260e-01
8.750000000000000000e+00,7.333625000000023597e-01,7.295146960221730037e-01
8.850000000000001421e+00,7.326593750000024441e-01,7.295146960221247090e-01
8.949999999999999289e+00,7.304781250000026427e-01,7.295146960220684207e-01
9.050000000000000711e+00,7.312781250000023325e-01,7.295146960220029175e-01
9.150000000000000355e+00,7.312687500000026875e-01,7.295146960219267562e-01
9.250000000000000000e+00,7.296562500000024487e-01,7.295146960218379384e-01
9.350000000000001421e+00,7.290937500000025384e-01,7.295146960217344656e-01
9.449999999999999289e+00,7.310781250000022435e-01,7.295146960216141174e-01
9.550000000000000711e+00,7.297062500000025542e-01,7.295146960214738963e-01
9.650000000000002132e+00,7.273875000000021851e-01,7.295146960213105825e-01
9.750000000000000000e+00,7.321250000000028013e-01,7.295146960211205123e-01
9.850000000000001421e+00,7.295593750000025635e-01,7.295146960208991338e-01
9.949999999999999289e+00,7.335937500000025979e-01,7.295146960206414510e-01
1.005000000000000071e+01,7.332000000000027384e-01,7.295146960203413578e-01
1.015000000000000213e+01,7.322843750000025409e-01,7.295146960199918595e-01
1.025000000000000000e+01,7.308812500000025913e-01,7.295146960195848518e-01
1.035000000000000142e+01,7.293968750000024981e-01,7.295146960191110086e-01
1.044999999999999929e+01,7.293968750000026091e-01,7.295146960185592278e-01
1.055000000000000071e+01,7.304187500000022260e-01,7.295146960179168527e-01
1.065000000000000213e+01,7.317343750000023794e-01,7.295146960171686734e-01
1.075000000000000000e+01,7.309781250000025876e-01,7.295146960162974814e-01
1.085000000000000142e+01,7.334656250000027855e-01,7.295146960152831817e-01
1.094999999999999929e+01,7.324593750000025771e-01,7.295146960141019044e-01
1.105000000000000071e+01,7.311531250000026239e-01,7.295146960127265601e-01
1.115000000000000213e+01,7.316375000000026052e-01,7.295146960111249523e-01
1.125000000000000000e+01,7.285312500000027391e-01,7.295146960092601107e-01
1.135000000000000142e+01,7.323125000000022533e-01,7.295146960070886255e-01
1.144999999999999929e+01,7.308437500000022347e-01,7.295146960045599815e-01
1.155000000000000071e+01,7.296906250000024796e-01,7.295146960016156701e-01
1.165000000000000213e+01,7.304687500000025535e-01,7.295146959981873014e-01
1.175000000000000000e+01,7.322406250000025318e-01,7.295146959941950504e-01
1.185000000000000142e+01,7.315468750000025944e-01,7.295146959895464356e-01
1.194999999999999929e+01,7.306531250000025679e-01,7.295146959841334322e-01
1.205000000000000071e+01,7.311656250000022617e-01,7.295146959778304740e-01
1.215000000000000213e+01,7.292468750000026256e-01,7.295146959704910117e-01
1.225000000000000000e+01,7.261187500000023665e-01,7.295146959619448479e-01
1.235000000000000142e+01,7.315906250000027145e-01,7.295146959519933638e-01
1.244999999999999929e+01,7.306906250000025915e-01,7.295146959404057441e-01
1.255000000000000071e+01,7.305156250000025553e-01,7.295146959269127596e-01
1.265000000000000213e+01,7.334625000000025707e-01,7.295146959112011054e-01
1.275000000000000000e+01,7.315437500000026017e-01,7.295146958929060732e-01
1.285000000000000142e+01,7.305218750000024297e-01,7.295146958716027807e-01
1.294999999999999929e+01,7.295062500000022432e-01,7.295146958467968457e-01
1.305000000000000071e+01,7.273500000000027166e-01,7.295146958179119512e-01
1.315000000000000213e+01,7.310343750000026786e-01,7.295146957842777447e-01
1.325000000000000000e+01,7.309843750000025731e-01,7.295146957451131842e-01
1.335000000000000142e+01,7.313468750000020613e-01,7.295146956995088861e-01
1.344999999999999929e+01,7.328906250000025713e-01,7.295146956464060306e-01
1.355000000000000071e+01,7.314031250000024853e-01,7.295146955845717152e-01
1.365000000000000213e+01,7.323625000000023588e-01,7.295146955125701993e-01
1.375000000000000000e+01,7.325812500000026262e-01,7.295146954287297092e-01
1.385000000000000142e+01,7.303750000000023279e-01,7.295146953311035798e-01
1.394999999999999929e+01,7.329906250000025603e-01,7.295146952174250687e-01
1.405000000000000071e+01,7.297656250000025269e-01,7.295146950850548428e-01
1.415000000000000213e+01,7.298187500000024031e-01,7.295146949309194717e-01
1.425000000000000000e+01,7.310437500000023237e-01,7.295146947514401514e-01
1.435000000000000142e+01,7.318656250000025176e-01,7.295146945424497709e-01
1.444999999999999929e+01,7.309312500000024748e-01,7.295146942990956562e-01
1.455000000000000071e+01,7.307062500000024441e-01,7.295146940157277715e-01
1.465000000000000213e+01,7.295343750000025107e-01,7.295146936857666020e-01
1.475000000000000000e+01,7.333000000000023944e-01,7.295146933015510538e-01
1.485000000000000142e+01,7.300937500000022062e-01,7.295146928541604847e-01
1.494999999999999929e+01,7.321625000000024919e-01,7.295146923332067601e-01
1.505000000000000071e+01,7.323031250000024972e-01,7.295146917265946662e-01
1.515000000000000213e+01,7.307687500000025205e-01,7.295146910202392476e-01
